Code;Inbounder;Supplier;Product;ShowWeb;Preferred_service;Beschrijving_kort;Beschrijving_lang;Contact_persoon;Contact_email;Contact_phone;Klant_phone;Klant_email;Locatie_stad;Locatie_straat;Locatie_land;Datum_contact_aangepast
 IBSHBA;PANP;;Ibis Styles Hobart;0;Logies;;;;;;;;Hobart;;AU;
ACCIBISINV;PANP;;Ibis Styles Invercargill;0;Logies;;;;;;;;Invercargill;;NZ;
 MERKNX;PANP;;Ibis Styles Kununurra;0;Logies;;;;;;;;Kununurra;;AU;
 IBISAPTSYD;PANP;;Ibis Sydney Airport;0;Logies;;;;;;;;Sydney;;AU;
 IBISWLG;PANP;;Ibis Wellington;0;Logies;;;;;;;;Wellington;;NZ;
BHPBYR;PANP;;Ingenia Holidays Byron Bay;0;Logies;;;;;;;;Byron Bay;;AU;
 ISLMAG;PANP;;Island Leisure Resort;0;Incl. Ontbijt;;;;;;;;Magnetic Island;;AU;
JAMEWLG;PANP;;James Cook Hotel Grand Chancellor;0;Logies;;;;;;;;Wellington;;NZ;
JUCSNOAKL;PANP;;Jucy Snooze Auckland;0;Logies;;;;;;;;Auckland;;NZ;
JUCSNOZCHC;PANP;;Jucy Snooze Christchurch;0;Logies;;;;;;;;Christchurch;;NZ;
GATEWAYKKE;PANP;;Kaikoura Gateway Motor Lodge;0;Logies;;;;;;;;Kaikoura;;NZ;
KALBARRIBKLB;PANP;;Kalbarri Beach Resort;0;Logies;;;;;;;;Kalbarri;;AU;
KALBPALM;PANP;;Kalbarri Palm Resort Motel;0;Logies;;;;;;;;Kalbarri;;AU;
KAMAHITTAOTO;PANP;;Kamahi Cottage;0;Incl. Ontbijt;;;;;;;;Otorohanga;;NZ;
KANGAROO1;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO2;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO3;PANP;;Kangaroo Island Seafront Resort;0;Incl. Ontbijt;;;;;;;;Penneshaw;;AU;
KANGAROO4;PANP;;Kangaroo Island Seafront Resort;0;Incl. Ontbijt;;;;;;;;Penneshaw;;AU;
KANGAROO5;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO6;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO7;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KANGAROO8;PANP;;Kangaroo Island Seafront Resort;0;Incl. Ontbijt;;;;;;;;Penneshaw;;AU;
KANGAROO9;PANP;;Kangaroo Island Seafront Resort;0;Logies;;;;;;;;Penneshaw;;AU;
KARIJININKAR;PANP;;Karijini Eco Retreat;0;;;;;;;;;Karijini NP;;AU;
KARPBM;PANP;;Karri Valley Resort;0;Logies;;;;;;;;Pemberton;;AU;
KERRYNPE;PANP;;Kerry Lodge B&B;0;Incl. Ontbijt;;;;;;;;Napier;;NZ;
KIMIORASPKAI;PANP;;Kimi Ora Eco Resort;0;Incl. Ontbijt;;;;;;;;Kaiteriteri;;NZ;
KINGFRI;PANP;;Kingfisher Bay Resort Fraser Island;0;Logies;;;;;;;;Fraser Island;;AU;
KINGSKBJ;PANP;;Kings Canyon Resort;0;;;;;;;;;Kings Canyon;;AU;
KINGSCREEK;PANP;;Kings Creek Station;0;;;;;;;;;Kings Canyon;;AU;
KINGTEU;PANP;;Kingsgate Hotel Te Anau;0;Logies;;;;;;;;Te Anau;;NZ;
CAPELEVEQKBL;PANP;;Kooljaman At Cape Leveque;0;Logies;;;;;;;;Cape Leveque;;AU;
